canonical,country,state,resolved,status,error
International Water Management Institute,Sri Lanka,NA,TRUE,resolved,NA
Inyo County Water Department,United States,California,TRUE,resolved,NA
Iowa State University,United States,Iowa,TRUE,resolved,NA
IPMA,Portugal,NA,TRUE,resolved,NA
Istanbul Technical University,Turkey,NA,TRUE,resolved,NA
Jacobs Engineering Group,United States,NA,TRUE,resolved,NA
Jahangirnagar University,Bangladesh,NA,TRUE,resolved,NA
James Cook University,Australia,NA,TRUE,resolved,NA
James Madison University,United States,Virginia,TRUE,resolved,NA
Jennifer Krebs Environmental Planning,NA,NA,TRUE,unknown,NA
Jet Propulsion Laboratory,United States,California,TRUE,resolved,NA
Jiangxi Normal University,China,NA,TRUE,resolved,NA
Jimma University,Ethiopia,NA,TRUE,resolved,NA
Johann Heinrich von Thünen Institute,Germany,NA,TRUE,resolved,NA
Johannes Gutenberg University Mainz,Germany,NA,TRUE,resolved,NA
Johns Hopkins University Applied Physics Laboratory,United States,Maryland,TRUE,resolved,NA
Joint Center for Global Change Studies,United States,NA,TRUE,resolved,NA
Jonah Ventures,United States,Colorado,TRUE,resolved,NA
K-water Institute,South Korea,NA,TRUE,resolved,NA
Kansas State University,United States,Kansas,TRUE,resolved,NA
Karlsruhe Institute of Technology,Germany,NA,TRUE,resolved,NA
Karuk Tribe of California,United States,California,TRUE,resolved,NA
Kathmandu University,Nepal,NA,TRUE,resolved,NA
Kennedy and Jenks Consultants,United States,NA,TRUE,resolved,NA
Kennedy College of Sciences,NA,NA,TRUE,unknown,NA
Kennedy Communications,NA,NA,TRUE,unknown,NA
Kentucky Geological Survey,United States,Kentucky,TRUE,resolved,NA
Kenya Meteorological Department,Kenya,NA,TRUE,resolved,NA
Kenyon College,United States,Ohio,TRUE,resolved,NA
Khalifa University,United Arab Emirates,NA,TRUE,resolved,NA
King Abdullah University of Science and Technology,Saudi Arabia,NA,TRUE,resolved,NA
King Faisal University,Saudi Arabia,NA,TRUE,resolved,NA
King Saud University,Saudi Arabia,NA,TRUE,resolved,NA
King's College London,United Kingdom,NA,TRUE,resolved,NA
Koç University,Turkey,NA,TRUE,resolved,NA
Korea Institute of Civil Engineering and Building Technology,South Korea,NA,TRUE,resolved,NA
Korea Meteorological Administration,South Korea,NA,TRUE,resolved,NA
Korea Polar Research Institute,South Korea,NA,TRUE,resolved,NA
Korea Water Resources Corporation,South Korea,NA,TRUE,resolved,NA
Kumamoto University,Japan,NA,TRUE,resolved,NA
Kyoto University,Japan,NA,TRUE,resolved,NA
Laboratoire d'Écologie des Hydrosystèmes Naturels et Anthropisés,France,NA,TRUE,resolved,NA
Lake County Water Resources Department,United States,Illinois,TRUE,resolved,NA
Lamont-Doherty Earth Observatory,United States,New York,TRUE,resolved,NA
Lancaster University,United Kingdom,NA,TRUE,resolved,NA
Lanzhou University,China,NA,TRUE,resolved,NA
Lawrence Berkeley National Laboratory,United States,California,TRUE,resolved,NA
Lawrence Livermore National Laboratory,United States,California,TRUE,resolved,NA
Lehigh University,United States,Pennsylvania,TRUE,resolved,NA
Leibniz-Institute of Freshwater Ecology and Inland Fisheries,Germany,NA,TRUE,resolved,NA
"Lettis Consultants International, Inc.",United States,California,TRUE,resolved,NA
Local Government Commission,NA,NA,TRUE,unknown,NA
Los Alamos National Laboratory,United States,New Mexico,TRUE,resolved,NA
Louisiana State University,United States,Louisiana,TRUE,resolved,NA
Lower Elwha Klallam Tribe,United States,Washington,TRUE,resolved,NA
Lund University,Sweden,NA,TRUE,resolved,NA
Luther College,United States,Iowa,TRUE,resolved,NA
Luxembourg Institute of Science and Technology,Luxembourg,NA,TRUE,resolved,NA
Macalester College,United States,Minnesota,TRUE,resolved,NA
Madison Area Technical College,United States,Wisconsin,TRUE,resolved,NA
Marine and Freshwater Research Institute,Iceland,NA,TRUE,resolved,NA
Marine Biological Laboratory,United States,Massachusetts,TRUE,resolved,NA
Marine Pollution Studies Laboratory,NA,NA,TRUE,unknown,NA
Maryland Department of Natural Resources,United States,Maryland,TRUE,resolved,NA
Massachusetts Institute of Technology,United States,Massachusetts,TRUE,resolved,NA
Massey University,New Zealand,NA,TRUE,resolved,NA
Max Planck Institute for Biogeochemistry,Germany,NA,TRUE,resolved,NA
Max Planck Institute of Animal Behavior,Germany,NA,TRUE,resolved,NA
Maynooth University,Ireland,NA,TRUE,resolved,NA
MBK Engineers,United States,California,TRUE,resolved,NA
McGill University,Canada,NA,TRUE,resolved,NA
McGurk Hydrologic,NA,NA,TRUE,unknown,NA
"Membrane Technology & Research, Inc.",United States,California,TRUE,resolved,NA
Memorial University of Newfoundland,Canada,NA,TRUE,resolved,NA
Met Office,United Kingdom,NA,TRUE,resolved,NA
Météo-France,France,NA,TRUE,resolved,NA
Meteogiornale,Italy,NA,TRUE,resolved,NA
Metropolitan Water District of Southern California,United States,California,TRUE,resolved,NA
"Michael Thomas Group, Inc.",NA,NA,TRUE,unknown,NA
Michigan State University,United States,Michigan,TRUE,resolved,NA
Middle East Technical University,Turkey,NA,TRUE,resolved,NA
Ministry of Agriculture of the People's Republic of China,China,NA,TRUE,resolved,NA
Ministry of Agriculture of the Republic of Kazakhstan,Kazakhstan,NA,TRUE,resolved,NA
Minnesota Department of Agriculture,United States,Minnesota,TRUE,resolved,NA
Mississippi State University,United States,Mississippi,TRUE,resolved,NA
Missouri Department of Conservation,United States,Missouri,TRUE,resolved,NA
Montana State University,United States,Montana,TRUE,resolved,NA
Monterey Bay Aquarium,United States,California,TRUE,resolved,NA
Monterey Bay Aquarium Research Institute,United States,California,TRUE,resolved,NA
Moss Landing Marine Laboratories,United States,California,TRUE,resolved,NA
Mount Royal University,Canada,NA,TRUE,resolved,NA
Mount San Antonio College,United States,California,TRUE,resolved,NA
Multimedia Envirosoft Corp.,NA,NA,TRUE,unknown,NA
Museums Victoria,Australia,NA,TRUE,resolved,NA
MWH Global,NA,NA,TRUE,unknown,NA
Nanjing Agricultural University,China,NA,TRUE,resolved,NA
National Aeronautics and Space Administration,United States,NA,TRUE,resolved,NA
National Agriculture and Food Research Organization,Japan,NA,TRUE,resolved,NA
National Antarctic Scientific Center of Ukraine,Ukraine,NA,TRUE,resolved,NA
National Biodiversity Future Center,Italy,NA,TRUE,resolved,NA
National Center for Agro Meteorology,South Korea,NA,TRUE,resolved,NA
National Center for Atmospheric Research,United States,Colorado,TRUE,resolved,NA
